cpt_number,category
10022,0
10060,0
10061,0
10120,0
10121,0
10140,0
10180,0
11000,0
11001,0
11004,0
11005,0
11006,0
11008,0
11010,0
11011,0
11012,0
11040,0
11041,0
11042,0
11043,0
11044,0
11045,0
11046,0
11047,0
11100,0
11200,0
11402,0
11403,0
11406,0
11424,0
11601,0
11602,0
11621,0
11626,0
11646,0
11981,0
11982,0
11983,0
12001,0
12002,0
12004,0
12005,0
12006,0
12007,0
12011,0
12013,0
12020,0
12031,0
12032,0
12034,0
12035,0
12036,0
12037,0
12042,0
12044,0
12045,0
12046,0
12051,0
13101,0
13102,0
13120,0
13121,0
13122,0
13132,0
13133,0
13150,0
13152,0
13153,0
13160,0
14000,0
14001,0
14020,0
14021,0
14040,0
14041,0
14060,0
14061,0
14300,0
14301,0
14302,0
15000,0
15001,0
15002,0
15003,0
15004,0
15005,0
15040,0
15100,0
15101,0
15120,0
15121,0
15175,0
15240,0
15271,0
15273,0
15274,0
15320,0
15330,0
15331,0
15430,0
15574,0
15732,0
15734,0
15736,0
15738,0
15750,0
15756,0
15757,0
15758,0
15770,0
15777,0
15830,0
15847,0
15852,0
16030,0
19260,0
19271,0
19272,0
19301,0
19303,0
19307,0
19328,0
20005,0
20100,0
20101,0
20102,0
20103,0
20200,0
20205,0
20220,0
20225,0
20240,0
20245,0
20250,0
20251,0
20550,0
20552,0
20600,0
20605,0
20610,0
20650,0
20660,0
20661,0
20670,0
20680,0
20690,0
20692,0
20693,0
20694,0
20816,0
20822,0
20824,0
20827,0
20900,0
20902,0
20926,0
20930,0
20931,0
20936,0
20937,0
20938,0
20950,0
20999,0
21015,0
21172,0
21244,0
21255,0
21315,0
21320,0
21330,0
21337,0
21338,0
21339,0
21343,0
21344,0
21346,0
21347,0
21356,0
21365,0
21386,0
21390,0
21401,0
21406,0
21407,0
21422,0
21423,0
21433,0
21445,0
21461,0
21501,0
21510,0
21550,1
21552,0
21555,0
21556,0
21557,1
21600,1
21620,1
21627,1
21630,1
21685,1
21750,1
21810,1
21825,1
21930,0
22010,0
22015,0
22101,0
22103,0
22110,0
22112,0
22114,0
22116,0
22212,0
22214,0
22220,0
22305,0
22310,0
22315,0
22318,0
22319,0
22325,0
22326,0
22327,0
22328,0
22523,0
22524,0
22532,0
22533,0
22534,0
22551,0
22552,0
22554,0
22556,0
22558,0
22585,0
22590,0
22595,0
22600,0
22610,0
22612,0
22614,0
22630,0
22632,0
22802,0
22804,0
22808,0
22810,0
22818,0
22819,0
22830,0
22840,0
22841,0
22842,0
22843,0
22844,0
22845,0
22846,0
22848,0
22849,0
22851,0
22852,0
22855,0
22900,0
22999,0
23030,0
23035,0
23040,0
23044,0
23065,0
23105,0
23107,0
23120,0
23130,0
23174,0
23180,0
23397,0
23410,0
23412,0
23430,0
23440,0
23470,0
23472,0
23500,0
23515,0
23530,0
23540,0
23545,0
23552,0
23570,0
23600,0
23605,0
23615,0
23616,0
23620,0
23625,0
23630,0
23650,0
23655,0
23660,0
23665,0
23670,0
23929,0
23930,0
23931,0
24000,0
24006,0
24066,0
24075,0
24101,0
24105,0
24300,0
24341,0
24343,0
24363,0
24495,0
24500,0
24505,0
24515,0
24516,0
24535,0
24545,0
24546,0
24560,0
24576,0
24577,0
24579,0
24586,0
24600,0
24605,0
24615,0
24620,0
24635,0
24650,0
24655,0
24665,0
24666,0
24670,0
24675,0
24685,0
24930,0
24999,0
25000,0
25020,0
25023,0
25024,0
25025,0
25028,0
25040,0
25066,0
25077,0
25101,0
25105,0
25111,0
25115,0
25118,0
25119,0
25120,0
25210,0
25215,0
25260,0
25270,0
25272,0
25275,0
25290,0
25310,0
25320,0
25405,0
25500,0
25505,0
25515,0
25525,0
25526,0
25530,0
25535,0
25545,0
25565,0
25574,0
25575,0
25600,0
25605,0
25606,0
25607,0
25608,0
25609,0
25611,0
25620,0
25622,0
25628,0
25630,0
25635,0
25650,0
25652,0
25660,0
25671,0
25675,0
25676,0
25685,0
25690,0
25695,0
25999,0
26020,0
26037,0
26055,0
26075,0
26350,0
26356,0
26410,0
26418,0
26440,0
26445,0
26540,0
26542,0
26591,0
26600,0
26608,0
26615,0
26665,0
26676,0
26685,0
26727,0
26735,0
26746,0
26775,0
26860,0
26951,0
26952,0
26990,0
26992,0
27000,0
27025,0
27027,0
27030,0
27033,0
27036,0
27041,0
27048,0
27049,0
27054,0
27057,0
27078,0
27090,0
27091,0
27120,0
27122,0
27125,0
27130,0
27132,0
27134,0
27137,0
27138,0
27140,0
27165,0
27170,0
27187,0
27193,0
27194,0
27200,0
27215,0
27216,0
27217,0
27218,0
27220,0
27222,0
27226,0
27227,0
27228,0
27230,0
27232,0
